epoch,acc,dice_coef,f1score,loss,precision,recall,val_acc,val_dice_coef,val_f1score,val_loss,val_precision,val_recall
0,0.04079198539485245,0.07691001443685835,0.07149923104467655,-0.07691001443685835,0.03722064597546415,0.9408323639749933,0.043433637794004665,0.0833968238090521,0.0753519341850864,-0.0833968238090521,0.03930002663979472,0.943651169994191
1,0.26794202920123594,0.0828146292367354,0.10275788806025138,-0.0828146292367354,0.0548367210154694,0.9461655731770747,0.6076346524629389,0.0925612282406664,0.16626115211653053,-0.0925612282406664,0.09120293394505795,0.9549223078864795
2,0.6910928809076867,0.11530643717527024,0.20479856023014414,-0.11530643717527024,0.11683778200087468,0.9323055170031456,0.9140231722356347,0.22098122295618786,0.3641932834543584,-0.22098122327517297,0.26624896406945103,0.5901626675683059
3,0.9263585152341249,0.3278834174457042,0.39788392085758867,-0.3278834174457042,0.3189359011091463,0.5868207291110916,0.9522228536255862,0.42758813163191534,0.4717891105088983,-0.42758813163191534,0.4566063724162017,0.49208850816849176
4,0.9485314439120738,0.45441685468643034,0.48634449916265643,-0.45441685468643034,0.4342580345012875,0.58426959919893,0.9599604325921528,0.5202115125247827,0.5459239880243937,-0.5202115125247827,0.5485273018160363,0.5461835774624384
5,0.9574706134533262,0.5269100046267371,0.5497156408077725,-0.5269100046267371,0.5173423344106806,0.615140020025817,0.9643684102490043,0.5890600351383197,0.611872432064208,-0.5890600351383197,0.5976005701479197,0.6288409916632766
6,0.9663296558225319,0.5943000610535579,0.6148362495632668,-0.5943000610535579,0.6046847526731389,0.6349881058630132,0.9706053219803976,0.6158067731682314,0.6339676360106978,-0.6158067731682314,0.7341461907103886,0.559017000759778
7,0.9661526257374751,0.6098770661704573,0.6255991857778423,-0.6098770661704573,0.6206650567821486,0.6615918781636868,0.969226083077422,0.650773247812137,0.6653440414218728,-0.650773247812137,0.6571370341362209,0.6749598863292542
8,0.9701049840833655,0.6460137868365686,0.6607942884220281,-0.6460137868365686,0.6564469484421233,0.67513403328418,0.9674723057207346,0.659477850348213,0.6711510737007911,-0.659477850348213,0.61881899651402,0.7344350949704465
9,0.9684269098738981,0.6380820272527464,0.6497317368184625,-0.6380820284393626,0.6518179523269396,0.6827470055948173,0.9687612011162877,0.6712973486028315,0.683221029943647,-0.6712973486028315,0.6325825813713424,0.7438387868965802
10,0.9713760395327534,0.6663221363634282,0.676868035636306,-0.6663221363634282,0.679023249682387,0.6925584518708643,0.9654918057838346,0.6633549781020628,0.6730417691239523,-0.6633549781020628,0.586164292574658,0.7912812541019661
11,0.9724284349320311,0.6773783116391753,0.6879952170217202,-0.6773783116391753,0.6903770579678359,0.6997040517479866,0.9732968431729425,0.695035000095309,0.7051447710130557,-0.695035000095309,0.7192537737184344,0.6928414215735339
12,0.9730937448066372,0.685528256261513,0.6943107079400768,-0.6855282574481293,0.6950369719159183,0.7058830359810891,0.9747718938993751,0.6939240808880657,0.7021283831800526,-0.6939240808880657,0.7782229108547946,0.6408475194502314
13,0.9746609059993925,0.6993976315714499,0.7078758334857946,-0.6993976315714499,0.7158933828654734,0.7040101720582106,0.9717722644499682,0.7030406663541765,0.7111824264220141,-0.703040665078236,0.6705935313067305,0.758132431120683
14,0.9751235162682409,0.7071854715873053,0.7150301714220967,-0.7071854715873053,0.7230827786473366,0.7114916065933146,0.9746959872931151,0.7168557917306183,0.7240519773340371,-0.7168557917306183,0.733656865012026,0.7159712967158093
15,0.9746483850990284,0.7048415097124179,0.71193560241375,-0.7048415097124179,0.7215216687408377,0.7138324050406767,0.9730322949747792,0.7149464611977977,0.7218601745567556,-0.7149464611977977,0.6892077242927085,0.758888259757914
16,0.9754891091612543,0.7138981103531982,0.720684556829619,-0.713898109166582,0.7299458115243255,0.7203331388886818,0.9748136913375388,0.7265955650842882,0.73343825340271,-0.7265955650842882,0.7210923888996836,0.7471395154976335
17,0.9760234355926514,0.720686715558331,0.7273193480957522,-0.720686715558331,0.7365878391411914,0.7250346036636446,0.9760854269750986,0.7303740178044054,0.736942596027246,-0.7303740178044054,0.758945653927071,0.7170100181110044
18,0.9768107526152642,0.7269026679065289,0.7333845912406127,-0.7269026679065289,0.7480325130189542,0.7235335521457024,0.9748306175984374,0.7331100669475871,0.7388056626013659,-0.7331100656716466,0.7137639633741583,0.7666623614249973
19,0.9768715115637728,0.7274743257401366,0.7334632292093216,-0.7274743245535203,0.7478528157857804,0.7269004188124291,0.9730860488859521,0.7269776849936272,0.7324443417587047,-0.7269776849936272,0.6760465952963639,0.8000329000140549
20,0.9771797654274594,0.734177208512702,0.7399575726726701,-0.734177208512702,0.754224059045041,0.7333651980981345,0.9750593306456866,0.7393391232607197,0.7452315627981764,-0.7393391232607197,0.7092256679082865,0.7858736487703586
21,0.9770494734163854,0.7362477060116451,0.742085870338253,-0.7362477071982613,0.7508222525554266,0.7430986831418223,0.9777715087666059,0.7269496190438577,0.7316202065631154,-0.7269496190438577,0.8515781160523768,0.6421649713035024
22,0.9781011865113449,0.7457181274617065,0.7515669949752083,-0.7457181274617065,0.7676327627431744,0.7415876909748154,0.9774915227831686,0.7541258632225363,0.759378702268688,-0.7541258632225363,0.7653737288731683,0.754250148932139
23,0.9784425944318085,0.7488338412406068,0.7543163641853683,-0.7488338400539907,0.7678478142021261,0.7454952483520391,0.9749271734774295,0.7442694605308207,0.7491351305891615,-0.744269461806761,0.7008745236498864,0.8052640814299977
24,0.9787151521416937,0.7526115024801783,0.758224819557225,-0.7526115024801783,0.7747824041438139,0.7483607940432854,0.9774768467343181,0.7592607778511281,0.7640873334094289,-0.7592607778511281,0.7542005573208543,0.7749172999589086
25,0.9789225947437024,0.757127718118577,0.7625728359083669,-0.757127718118577,0.779213533193375,0.7522406624615832,0.9758017037622061,0.7539998249176445,0.7586089797340766,-0.7539998249176445,0.7099177099149162,0.8151528237427411
26,0.9793263102381007,0.7608782410804199,0.7661971427945229,-0.7608782398938038,0.7843991960719753,0.753230770733236,0.9767120726611636,0.760439845400119,0.765279041335488,-0.760439845400119,0.7260111402663252,0.80963686445802
27,0.9797500950636578,0.7657636510832934,0.7711672270827418,-0.7657636510832934,0.7866980477277572,0.7586517014510781,0.977824017724495,0.7675929727539739,0.7727442463968143,-0.7675929727539739,0.7486899981804944,0.7989077269119589
28,0.9800376682150054,0.769191734184715,0.774528193619861,-0.769191734184715,0.7952942512301903,0.7586934314570054,0.9755929092383895,0.7556684181230877,0.7604428803155182,-0.7556684181230877,0.7018175930787299,0.8302795066746003
29,0.9801082090798418,0.7705302135320024,0.7757182727363902,-0.7705302123453862,0.7928171051041456,0.7643747002936067,0.9798938586442113,0.7783570614065235,0.782690554401561,-0.7783570614065235,0.8116585076402086,0.756222086215238
